Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Naturligtvis han betalade godiset själv med sina pengar.	859	1	112	2	j
1		trialprocedure	Idag efter skolan badade hon.	513	2	241	5	f
1		trialprocedure	Kanske han väntade på henne i skoaffären.	531	1	122	2	j
1		trialprocedure	Idag spelade pojken fotboll på gräsmattan.	754	2	244	3	f
1		trialprocedure	Kanske dansade flickan bara med Eric och Anders.	645	2	224	3	f
1		trialprocedure	Naturligtvis spelade hon på sitt piano.	553	2	212	3	f
1		trialprocedure	Idag efter skolan flickan badade.	825	1	143	4	j
1		trialprocedure	Hemma hos Eric hon betalade för bollen.	895	1	131	4	j
1		trialprocedure	Hemma dansade flickan hela dagen.	542	2	234	3	f
1		trialprocedure	Hemma i Sverige sprang han till Sara.	529	2	231	5	f
1		trialprocedure	Idag flickan sjöng hemma i köket.	828	1	144	2	j
1		trialprocedure	Hemma i Lund skrattade pojken.	749	2	233	5	f
1		trialprocedure	Hemma åt han godiset själv.	667	2	232	3	f
1		trialprocedure	Idag hon pratade med sin fröken.	806	1	142	2	j
1		trialprocedure	Hemma i Lund flickan lekte ensam i köket.	591	1	133	4	j
1		trialprocedure	Idag efter lunchen han städade undan sina kläder.	583	1	141	4	j
1		trialprocedure	Hemma pojken klättrade upp till skåpen.	852	1	134	2	j
1		trialprocedure	Kanske vilade hon.	648	2	222	3	f
1		trialprocedure	Kanske flickan skrattade.	733	1	124	2	j
1		trialprocedure	Naturligtvis flickan åt Annas kakor.	486	1	114	2	j
1		trialprocedure	Idag sprang han hem till Maria.	581	2	242	3	f
1		trialprocedure	Hemma han handlade upp alla pengarna.	793	1	132	2	j
1		trialprocedure	Naturligtvis målade flickan vackra blommor på en tavla.	568	2	214	3	f
1		trialprocedure	Idag på morgonen dansade pojken runt.	557	2	243	5	f
1		trialprocedure	Naturligtvis flickan sparkade bollen till sina vänner.	514	1	114	2	j
1		trialprocedure	Naturligtvis tvättade han Saras nya röda klänning.	802	2	212	3	f
1		trialprocedure	Idag på morgonen han dansade runt.	515	1	141	4	j
1		trialprocedure	Kanske kröp pojken in under filten.	550	2	224	3	f
1		trialprocedure	Idag vaknade han under filten.	792	2	242	3	f
1		trialprocedure	Idag badade flickan.	650	2	244	3	f
1		trialprocedure	Hemma i Lund han skrattade.	541	1	131	4	j
1		trialprocedure	Hemma låg hon på soffan och tänkte.	931	2	232	3	f
1		trialprocedure	Hemma i Lund lekte hon ensam i köket.	775	2	231	5	f
1		trialprocedure	Hemma i Malmö tystnade pojken för att lyssna på fåglarna.	897	2	233	5	f
1		trialprocedure	Kanske smakade hon Annas kakor.	701	2	222	3	f
1		trialprocedure	Idag flickan letade efter bollen nere vid sjön.	681	1	144	2	j
1		trialprocedure	Idag han handlade alla de nybakade kakorna.	684	1	142	2	j
1		trialprocedure	Naturligtvis berättade pojken vad som hade hänt.	905	2	214	3	f
1		trialprocedure	Naturligtvis hon satt och läste tidningen.	673	1	112	2	j
1		trialprocedure	Idag efter rasten flickan satt.	952	1	143	4	j
1		trialprocedure	Hemma hon talade med Erik.	565	1	132	2	j
1		trialprocedure	Hemma handlade pojken upp alla pengarna.	600	2	234	3	f
1		trialprocedure	Idag på eftermiddagen lekte hon med Anders och Erik.	901	2	241	5	f
1		trialprocedure	Kanske flickan handlade en ny mössa.	491	1	124	2	j
1		trialprocedure	Idag på morgonen ringde pojken till sin pappa.	640	2	243	5	f
1		trialprocedure	Hemma hos Lars flickan dansade hela dagen.	595	1	133	4	j
1		trialprocedure	Hemma pojken tittade på Maria och log.	809	1	134	2	j
1		trialprocedure	Kanske hon tittade på Saras nya röda klänning.	507	1	122	2	j
1		trialprocedure	Kanske spelade han kort med farfar.	697	2	222	3	f
1		trialprocedure	Idag spelade han fotboll på gräsmattan.	759	2	242	3	f
1		trialprocedure	Idag på rasten åt flickan sin mat.	561	2	243	5	f
1		trialprocedure	Kanske klättrade pojken ner från trädet.	863	2	224	3	f
1		trialprocedure	Idag flickan läste tidningen.	680	1	144	2	j
1		trialprocedure	Naturligtvis arbetade han hemma hos Anna.	826	2	212	3	f
1		trialprocedure	Idag efter skolan hon låg i soffan och läste.	953	1	141	4	j
1		trialprocedure	Naturligtvis flickan satt och läste tidningen.	497	1	114	2	j
1		trialprocedure	Idag på eftermiddagen kröp hon upp i soffan till Anna.	808	2	241	5	f
1		trialprocedure	Hemma betalade flickan för bollen.	607	2	234	3	f
1		trialprocedure	Hemma pojken skrattade.	494	1	134	2	j
1		trialprocedure	Hemma i Lund låg hon på soffan och tänkte.	726	2	231	5	f
1		trialprocedure	Hemma hos Eva han jobbade gärna.	644	1	131	4	j
1		trialprocedure	Idag sprang pojken hem till Maria.	487	2	244	3	f
1		trialprocedure	Naturligtvis betalade pojken godiset själv med sina pengar.	734	2	214	3	f
1		trialprocedure	Kanske hon vaknade.	686	1	122	2	j
1		trialprocedure	Hemma han letade efter sin bok.	913	1	132	2	j
1		trialprocedure	Naturligtvis hon vaknade på soffan.	768	1	112	2	j
1		trialprocedure	Hemma i Malmö smakade pojken alla de nybakade kakorna.	624	2	233	5	f
1		trialprocedure	Hemma kröp han in under den varma filten.	909	2	232	3	f
1		trialprocedure	Kanske flickan vilade på gräsmattan.	773	1	124	2	j
1		trialprocedure	Hemma i Lund flickan låg på soffan och tänkte.	656	1	133	4	j
1		trialprocedure	Idag hon satt.	767	1	142	2	j
1		trialprocedure	Idag efter skolan flickan skrattade åt Eric när han busade.	540	1	143	4	j
1		trialprocedure	Kanske han sparkade boll.	705	1	122	2	j
1		trialprocedure	Idag efter rasten flickan ramlade.	569	1	143	4	j
1		trialprocedure	Hemma jobbade han gärna.	763	2	232	3	f
1		trialprocedure	Kanske läste han tidningen ifred på sitt rum.	490	2	222	3	f
1		trialprocedure	Idag på eftermiddagen sjöng hon hemma i köket.	842	2	241	5	f
1		trialprocedure	Naturligtvis handlade hon tidningen.	814	2	212	3	f
1		trialprocedure	Idag flickan skrattade åt Eric när han busade.	665	1	144	2	j
1		trialprocedure	Naturligtvis klättrade pojken upp i trädet snabbt.	916	2	214	3	f
1		trialprocedure	Hemma hos Anna hon berättade vad hon bakade hos Anna.	703	1	131	4	j
1		trialprocedure	Hemma pojken svarade på frågan.	617	1	134	2	j
1		trialprocedure	Kanske tittade flickan på Saras nya röda klänning.	575	2	224	3	f
1		trialprocedure	Idag efter skolan hon klättrade upp i trädet snabbt.	641	1	141	4	j
1		trialprocedure	Hemma i Sverige sparkade han boll.	959	2	231	5	f
